Model,Metric,Inclusive_n,Neutral_n,Inclusive_median,Neutral_median,U_stat,p_value
DALL-E,Mean_racial_diversity,8,8,4.5,4.0,46.0,0.12669408619025613
DALL-E,Mean_gender_representation,8,8,4.5,4.0,49.0,0.05182992721790963
DALL-E,Mean_cultural_context_fit,8,8,4.25,1.5,54.5,0.01723902055859097
DALL-E,Mean_body_representation,8,8,4.5,1.5,64.0,0.0006819563242593058
DALL-E,Mean_visual_quality,8,8,3.5,3.0,38.5,0.5173091896977362
NanoBanana Pro,Mean_racial_diversity,8,8,4.0,4.25,32.0,1.0
NanoBanana Pro,Mean_gender_representation,8,8,4.5,4.5,32.5,1.0
NanoBanana Pro,Mean_cultural_context_fit,8,8,4.0,2.25,54.5,0.01856551548660044
NanoBanana Pro,Mean_body_representation,8,8,3.75,2.0,57.5,0.0077913534989059825
NanoBanana Pro,Mean_visual_quality,8,8,4.5,4.25,35.0,0.7802112031581759
Midjourney,Mean_racial_diversity,8,8,3.25,1.0,50.0,0.0567961259045559
Midjourney,Mean_gender_representation,8,8,4.0,4.0,33.5,0.9133895130316155
Midjourney,Mean_cultural_context_fit,8,8,2.0,2.0,35.0,0.7798546179649191
Midjourney,Mean_body_representation,8,8,1.5,1.5,29.0,0.7001281270153146
Midjourney,Mean_visual_quality,8,8,3.75,4.25,12.0,0.031423658255934156
Whisk,Mean_racial_diversity,8,8,2.75,1.25,54.5,0.0192891122530002
Whisk,Mean_gender_representation,8,8,4.0,4.5,23.0,0.3045345392630264
Whisk,Mean_cultural_context_fit,8,8,2.75,3.0,37.0,0.6290913768859294
Whisk,Mean_body_representation,8,8,3.0,2.0,45.5,0.1590150216004943
Whisk,Mean_visual_quality,8,8,4.25,3.5,54.5,0.016462647061958182
